variable	Df	Variance	F	Pr(>F)
adiponectin	1	0.0018171807947192174	3.665935679495083	0.007
age_years	1	5.840886887130835e-4	1.1783261028100638	0.299
BMI	1	0.001655114293976244	3.3389867213885873	0.013
BMI_class	2	0.0011432402201160142	1.1531723000090066	0.286
Body_Fat_Percentage	1	0.0011078743079609892	2.2349982818179974	0.061
Calorie_intake	1	0.0016099378294627542	3.247848837026874	0.011
Cardiometabolic_status	1	4.874950951591246e-4	0.9834605715161239	0.412
city	4	0.019026235044192794	9.595764232383846	0.001
diastolic_bp	1	6.976447761684636e-4	1.407411350594044	0.211
fiber	1	0.0015810623492291433	3.1895961559735806	0.02
glucose	1	4.91339699955063e-4	0.9912165823302082	0.405
Hemoglobin_a1c	1	5.754415906068754e-4	1.1608816605378567	0.324
CRP	1	4.6606446172228755e-5	0.09402269406200739	0.996
insulin	1	2.640734016466223e-4	0.5327351620241898	0.739
Total_Cholesterol	1	3.3176258695375577e-4	0.6692896536050438	0.583
HDL	1	1.2244149570195956e-4	0.2470104510508618	0.93
LDL	1	8.441556555738097e-4	1.702978782193083	0.143
VLDL	1	3.8589392595404087e-4	0.7784928807119268	0.524
Triglycerides	1	9.053853623360031e-5	0.1826502081204852	0.94
medication	1	4.314604972921396e-4	0.8704177569521059	0.465
per_carbohydrates	1	4.9738420510613e-4	1.0034106178178066	0.389
per_total_protein	1	4.16314871284261e-4	0.8398633449024506	0.492
per_total_fat	1	1.0051473761247404e-4	0.20277595052703107	0.955
per_animal_protein	1	9.943285997124837e-4	2.0059339727897627	0.088
per_monoinsaturated_fat	1	1.179694874644116e-4	0.23798873202066698	0.926
per_polyunsaturated_fat	1	1.4901508140250513e-4	0.3006193468937231	0.894
per_saturated_fat	1	4.861671165795542e-4	0.9807815403098732	0.358
sex	1	0.0011361163957555181	2.2919731725995134	0.065
smoker	1	5.371919032589531e-4	1.0837176854475596	0.36
stool_consistency	3	0.005740325802566393	3.8601305261255825	0.001
systolic_bp	1	8.095100817328837e-4	1.633085656726909	0.172
MET_mins_per_week	1	3.884776475197721e-4	0.7837052168213664	0.534
waist_circumference	1	6.362566181277382e-4	1.2835683958842177	0.239
Residual	293	0.14523822003501816	NA	NA
