baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Domain	Phylum	Class	Order	Family	Genus	Species
1.0060035102930285	-5.326660019063582e-6	0.2172665737663465	-2.4516702807639407e-5	0.99998043850135	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.9409486540689849	-0.10172891737933938	0.2670871038051745	-0.3808829251956137	0.7032901229489551	0.8521439295340596	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0733195606448975	-0.23505432011208122	0.21725809709049373	-1.0819128182558595	0.27929126857023445	0.5172405908746468	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0060035102930285	-5.326660019063582e-6	0.2172665737663465	-2.4516702807639407e-5	0.99998043850135	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0060035102930285	-5.326660019063582e-6	0.2172665737663465	-2.4516702807639407e-5	0.99998043850135	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0508808771942746	0.14472289582218925	0.2094766799804608	0.6908783155990846	0.4896420142969584	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0060035102930285	-5.326660019063582e-6	0.2172665737663465	-2.4516702807639407e-5	0.99998043850135	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
14.989043080606232	-0.10298460692574082	0.35958541589534293	-0.28639817515767774	0.7745731722078055	0.9001392305846905	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.3313644203270614	0.9534126473841887	0.20993306935960795	4.541507682865468	5.58533501396249e-6	1.5887175150826636e-4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.1406356109967664	0.5437821336592296	0.20442636618466542	2.660039131977782	0.00781315732449578	0.04312137243104802	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0321819743187555	-0.030234938885124494	0.21593646880377299	-0.1400177517610504	0.8886459646774049	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
19.99286949009515	0.18537378501825433	0.6583876268235422	0.2815572125992235	0.7782830526897979	0.9025412409402943	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
2.0606216324723072	0.8036142151266622	0.25512238432892925	3.1499165282594825	0.0016331711702162613	0.0133871764888663	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.062100218919586	0.3114715942702565	0.20853355912594612	1.4936281506716136	0.13527283740010673	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0359217548938593	-0.037455518149074024	0.2157341467762199	-0.17361886705828944	0.8621650034467083	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0508808771942746	0.1591994989708884	0.20990740163220298	0.7584272766609521	0.4481952337560419	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.0060035102930285	-5.326660019063582e-6	0.2172665737663465	-2.4516702807639407e-5	0.99998043850135	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.043401316044067	-0.07521481067896525	0.21631074021929173	-0.3477164869516599	0.7280531136307176	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.084538902370209	-0.4060821661123293	0.21732352381624376	-1.868560563446822	0.061683976750775464	0.1906093769702637	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
1.8250154562407663	-0.33442402115941355	0.2618362926743501	-1.2772256196559502	0.20152260453376705	0.4193956405801271	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA
